"시군별(1)",시군별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시군별(1)",시군별(2),합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반
"시군별(1)",시군별(2),계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상
"남부",안성시,6196,3551,2645,1050,694,356,151,94,57,4995,2763,2232,6245,4325,1920,1225,742,483,310,219,91,4710,3364,1346,6419,4741,1678,1332,823,509,82,37,45,5005,3881,1124,6672,4730,1942,1363,853,510,120,51,69,5189,3826,1363,7328,5073,2255,1396,860,536,550,271,279,5382,3942,1440,7925,5547,2378,1993,1254,739,528,309,219,5404,3984,1420,8258,5367,2891,1346,799,547,450,190,260,6462,4378,2084,9205,6471,2734,1439,839,600,487,194,293,7279,5438,1841
"남부",김포시,6090,4672,1418,1743,1289,454,639,455,184,3708,2928,780,7577,5772,1805,943,648,295,148,103,45,6486,5021,1465,8008,6086,1922,1277,937,340,178,126,52,6553,5023,1530,7677,5898,1779,1707,1238,469,209,148,61,5761,4512,1249,9429,7231,2198,2107,1538,569,251,178,73,7071,5515,1556,10441,10138,303,1195,1125,70,577,546,31,8669,8467,202,12393,9779,2614,2042,1143,899,488,232,256,9863,8404,1459,12918,6867,6051,2276,384,1892,555,247,308,10087,6236,3851
"남부",화성시,10818,7896,2922,1638,1163,475,1370,920,450,7810,5813,1997,6187,4108,2079,905,618,287,470,253,217,4812,3237,1575,10943,8442,2501,1234,653,581,458,201,257,9251,7588,1663,11070,8469,2601,1274,673,601,498,223,275,9298,7573,1725,12407,8960,3447,1414,920,494,720,354,366,10273,7686,2587,13842,10470,3372,1747,1140,607,1323,653,670,10772,8677,2095,15435,11876,3559,2429,1335,1094,874,134,740,12132,10407,1725,17856,13554,4302,3629,2167,1462,1387,740,647,12840,10647,2193
"남부",광주시,7703,5977,1726,1179,782,397,771,526,245,5753,4669,1084,7941,6099,1842,886,560,326,725,447,278,6330,5092,1238,6960,5590,1370,882,553,329,702,423,279,5376,4614,762,7152,5788,1364,969,600,369,496,270,226,5687,4918,769,8161,6575,1586,1143,718,425,207,101,106,6811,5756,1055,9260,7010,2250,1148,699,449,430,219,211,7682,6092,1590,10193,8199,1994,814,505,309,447,249,198,8932,7445,1487,11455,9118,2337,944,564,380,449,202,247,10062,8352,1710
"남부",여주시,4771,3376,1395,922,587,335,204,148,56,3645,2641,1004,5086,3553,1533,923,585,338,206,147,59,3957,2821,1136,5340,3335,2005,994,656,338,674,313,361,3672,2366,1306,5418,2409,3009,869,576,293,517,293,224,4032,1540,2492,5379,3229,2150,757,494,263,353,165,188,4269,2570,1699,5923,4098,1825,1198,785,413,381,163,218,4344,3150,1194,6324,4440,1884,1191,770,421,427,187,240,4706,3483,1223,6916,4916,2000,836,476,360,341,312,29,5739,4128,1611
"남부",양평군,4011,2539,1472,888,576,312,451,251,200,2672,1712,960,3128,1942,1186,887,521,366,442,214,228,1799,1207,592,3372,2093,1279,766,461,305,433,194,239,2173,1438,735,6249,4196,2053,863,502,361,388,158,230,4998,3536,1462,7345,5328,2017,1329,946,383,598,370,228,5418,4012,1406,7781,2770,5011,1121,687,434,392,160,232,6268,1923,4345,9346,6660,2686,693,428,265,334,137,197,8319,6095,2224,9024,6634,2390,2759,1647,1112,416,112,304,5849,4875,974
"북부",소계,99461,77807,21654,16676,11421,5255,9609,6496,3113,73176,59890,13286,91492,70040,21452,16951,11652,5299,5350,3562,1788,69191,54826,14365,96077,67687,28390,18279,11961,6318,4156,2591,1565,73642,53135,20507,99552,73464,26088,22244,15547,6697,5681,3513,2168,71627,54404,17223,103252,67448,35804,17542,10927,6615,7857,4588,3269,77853,51933,25920,115252,82237,33015,19843,12789,7054,7858,4623,3235,87551,64825,22726,128324,95458,32866,22502,14504,7998,8540,5072,3468,97282,75882,21400,135280,86747,48533,20714,12813,7901,8777,4588,4189,105789,69346,36443
"북부",의정부시,14221,11033,3188,2282,1419,863,1211,834,377,10728,8780,1948,12616,9440,3176,2695,1839,856,930,598,332,8991,7003,1988,12627,8969,3658,2264,1383,881,545,311,234,9818,7275,2543,13313,10079,3234,2782,1985,797,1036,666,370,9495,7428,2067,13902,10550,3352,2746,1821,925,783,440,343,10373,8289,2084,15078,10978,4100,2906,1928,978,925,561,364,11247,8489,2758,16708,16302,406,2628,2445,183,916,856,60,13164,13001,163,18342,13673,4669,3078,2085,993,1004,504,500,14260,11084,3176
"북부",동두천시,3889,2893,996,1086,776,310,755,567,188,2048,1550,498,4026,2994,1032,1135,809,326,265,192,73,2626,1993,633,4412,3242,1170,1486,1056,430,297,215,82,2629,1971,658,4601,3351,1250,1585,1120,465,348,239,109,2668,1992,676,5167,3853,1314,1122,757,365,482,287,195,3563,2809,754,5351,3252,2099,978,710,268,660,410,250,3713,2132,1581,5699,4179,1520,1088,769,319,782,306,476,3829,3104,725,6173,4483,1690,1186,828,358,1853,1223,630,3134,2432,702
"북부",고양시,31456,22452,9004,3440,2161,1279,4991,3190,1801,23025,17101,5924,23882,18937,4945,3803,2703,1100,1044,730,314,19035,15504,3531,24031,18719,5312,3705,2593,1112,1214,837,377,19112,15289,3823,26259,18883,7376,5584,3728,1856,1994,1158,836,18681,13997,4684,27135,19343,7792,4253,2934,1319,1599,877,722,21283,15532,5751,29219,20453,8766,5034,3185,1849,987,654,333,23198,16614,6584,31815,22407,9408,5448,3370,2078,3317,2255,1062,23050,16782,6268,34317,23446,10871,4025,2543,1482,1699,791,908,28593,20112,8481
"북부",구리시,4087,3497,590,1070,798,272,180,133,47,2837,2566,271,5352,4221,1131,1094,790,304,191,144,47,4067,3287,780,4277,1362,2915,1253,433,820,163,42,121,2861,887,1974,4510,3574,936,1335,947,388,211,138,73,2964,2489,475,4921,3850,1071,777,588,189,537,351,186,3607,2911,696,6978,5304,1674,778,577,201,917,613,304,5283,4114,1169,6625,4580,2045,611,316,295,221,34,187,5793,4230,1563,6286,2080,4206,925,664,261,300,143,157,5061,1273,3788
"북부",남양주시,16624,15477,1147,2925,2075,850,497,376,121,13202,13026,176,14882,11410,3472,2355,1521,834,385,266,119,12142,9623,2519,16400,12431,3969,2688,1719,969,420,265,155,13292,10447,2845,16595,12674,3921,3807,2666,1141,942,669,273,11846,9339,2507,18160,4620,13540,2593,894,1699,1000,539,461,14567,3187,11380,20009,15007,5002,1284,720,564,660,434,226,18065,13853,4212,21938,16298,5640,3752,2182,1570,1112,543,569,17074,13573,3501,23907,18063,5844,3617,1777,1840,1260,597,663,19030,15689,3341
"북부",파주시,10871,8446,2425,1980,1358,622,420,281,139,8471,6807,1664,11476,8816,2660,1760,1240,520,486,330,156,9230,7246,1984,14834,9060,5774,1785,1250,535,560,338,222,12489,7472,5017,14221,10648,3573,2023,1423,600,273,162,111,11925,9063,2862,12843,10719,2124,2075,1475,600,291,168,123,10477,9076,1401,14532,10510,4022,3240,2078,1162,940,500,440,10352,7932,2420,15841,11429,4412,3029,1829,1200,793,395,398,12019,9205,2814,16669,5576,11093,4387,2723,1664,1092,551,541,11190,2302,8888
"북부",양주시,5460,4262,1198,868,562,306,201,138,63,4391,3562,829,5721,4332,1389,1089,670,419,358,228,130,4274,3434,840,5721,3878,1843,1849,1293,556,203,139,64,3669,2446,1223,5757,4383,1374,1861,1417,444,204,155,49,3692,2811,881,7030,5329,1701,1388,870,518,666,392,274,4976,4067,909,7939,5268,2671,2483,1523,960,948,533,415,4508,3212,1296,12247,8339,3908,2995,1791,1204,606,310,296,8646,6238,2408,10159,7471,2688,92,33,59,585,290,295,9482,7148,2334
"북부",포천시,6266,4731,1535,1354,1031,323,405,279,126,4507,3421,1086,6210,4866,1344,1034,756,278,337,232,105,4839,3878,961,6495,5023,1472,1098,820,278,357,198,159,5040,4005,1035,7025,5304,1721,1122,835,287,376,201,175,5527,4268,1259,6471,4161,2310,1149,693,456,1643,1078,565,3679,2390,1289,8132,5911,2221,1622,1135,487,733,378,355,5777,4398,1379,8695,5824,2871,1304,873,431,311,208,103,7080,4743,2337,8695,5599,3096,1385,848,537,236,131,105,7074,4620,2454
"북부",연천군,2607,2117,490,1102,862,240,433,335,98,1072,920,152,3529,2150,1379,690,404,286,1135,697,438,1704,1049,655,3359,2259,1100,741,442,299,54,25,29,2564,1792,772,3132,1917,1215,705,422,283,65,27,38,2362,1468,894,3316,2104,1212,742,454,288,467,253,214,2107,1397,710,3499,2284,1215,776,477,299,464,214,250,2259,1593,666,3818,2567,1251,669,326,343,120,30,90,3029,2211,818,3874,1396,2478,712,471,241,331,190,141,2831,735,2096
"북부",가평군,3980,2899,1081,569,379,190,516,363,153,2895,2157,738,3798,2874,924,1296,920,376,219,145,74,2283,1809,474,3921,2744,1177,1410,972,438,343,221,122,2168,1551,617,4139,2651,1488,1440,1004,436,232,98,134,2467,1549,918,4307,2919,1388,697,441,256,389,203,186,3221,2275,946,4515,3270,1245,742,456,286,624,326,298,3149,2488,661,4938,3533,1405,978,603,375,362,135,227,3598,2795,803,6858,4960,1898,1307,841,466,417,168,249,5134,3951,1183
