"전출지별","전입지별",2022.02,2022.03,2022.04,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"인천광역시","경상남도",309,247,188,3515,3501,3242,3330,3470,3670,2941,2919,2712,2700,2719,2817
"인천광역시","제주특별자치도",292,204,171,1252,1232,1436,1720,1941,2276,2375,2713,2326,2253,2295,2342
"광주광역시","전국",19894,19503,14671,265043,259282,230437,229288,246043,233875,221074,216256,225108,221005,232246,218771
"광주광역시","서울특별시",1490,1127,728,12642,11917,11811,10964,11518,10860,10432,10561,10859,10727,11232,10330
"광주광역시","부산광역시",149,109,73,1283,1206,1447,1157,1667,1418,1264,1135,1117,1102,1182,1128
"광주광역시","대구광역시",67,83,40,536,572,668,676,746,547,577,647,614,545,555,568
"광주광역시","인천광역시",246,178,136,2255,2155,2157,2109,2010,2167,2080,2000,1993,2035,1887,1971
"광주광역시","광주광역시",11924,12769,9560,183496,179871,152570,155265,164321,150777,145582,142174,149703,149352,158517,148167
"광주광역시","대전광역시",183,183,118,1633,1705,1575,1610,1665,1481,1537,1383,1475,1389,1519,1350
"광주광역시","울산광역시",52,31,17,437,428,642,448,518,538,398,322,342,355,355,257
"광주광역시","세종특별자치시",90,66,36,-,-,278,239,593,926,706,777,897,754,837,794
"광주광역시","경기도",1075,884,699,13061,11716,11920,10895,11972,10788,10004,9812,10740,10264,10631,10116
"광주광역시","강원도",105,74,63,1077,891,872,899,954,1029,827,859,730,783,826,845
"광주광역시","충청북도",133,109,71,831,931,849,782,945,970,848,910,1028,1023,997,1067
"광주광역시","충청남도",208,215,163,1900,2083,1858,1843,2215,2053,1966,1986,2016,1780,1954,1910
"광주광역시","전라북도",591,554,407,5742,5785,5972,5549,5798,5632,5618,5288,5072,4940,5537,5239
"광주광역시","전라남도",3183,2818,2360,37069,36775,34736,33736,37356,40882,35818,35140,35234,33024,33145,31992
"광주광역시","경상북도",108,93,67,850,881,856,819,981,1008,835,829,826,766,770,839
"광주광역시","경상남도",149,119,81,1520,1605,1457,1475,1767,1643,1453,1242,1284,1142,1233,1216
"광주광역시","제주특별자치도",141,91,52,711,761,769,822,1017,1156,1129,1191,1178,1024,1069,982
"대전광역시","전국",22615,19777,15463,263477,260900,239136,230547,248397,241390,229883,227624,227632,228766,243418,220496
"대전광역시","서울특별시",2135,1564,892,15793,14890,14570,14156,14172,13559,13726,14118,14221,14725,15116,13854
"대전광역시","부산광역시",222,192,117,1976,2074,2013,1986,2190,2054,1807,1762,1608,1743,1855,1796
"대전광역시","대구광역시",172,189,114,1757,1848,1734,1762,1818,1667,1710,1524,1525,1473,1608,1502
"대전광역시","인천광역시",329,281,192,2762,2782,2812,2662,2621,2516,2463,2458,2577,2567,2594,2511
"대전광역시","광주광역시",129,89,79,1512,1261,1130,1247,1248,1321,1089,1026,1135,1091,1150,1124
"대전광역시","대전광역시",12410,11489,9605,175962,175460,152381,148793,156961,139609,138876,131656,133318,133995,150580,131535
"대전광역시","울산광역시",68,62,39,745,728,952,822,909,939,662,621,595,641,700,601
"대전광역시","세종특별자치시",1438,954,793,-,-,8907,4012,14093,25788,17575,23707,22180,20314,15425,14044
"대전광역시","경기도",1656,1451,1014,18022,16492,15967,15775,15189,15354,15141,14807,15399,16320,16584,16071
"대전광역시","강원도",225,201,173,2603,2877,2411,2737,2400,2423,2213,2302,2094,2297,2217,2251
"대전광역시","충청북도",932,852,634,8847,8847,8116,8308,8256,8265,7748,7653,7902,8280,8869,8738
"대전광역시","충청남도",1600,1379,999,21192,21076,16747,16924,16552,16030,15824,15321,14673,14453,15797,15288
"대전광역시","전라북도",423,399,290,4300,4478,3952,3761,4116,3766,3552,3627,3358,3424,3816,3703
"대전광역시","전라남도",164,137,113,1815,1929,1714,1755,1799,1798,1672,1603,1569,1719,1610,1682
"대전광역시","경상북도",338,277,194,3190,3144,2841,2773,2851,2914,2767,2600,2599,2834,2680,2905
"대전광역시","경상남도",260,183,151,2549,2532,2349,2389,2483,2420,2174,2004,2063,2046,1981,2031
"대전광역시","제주특별자치도",114,78,64,452,482,540,685,739,967,884,835,816,844,836,860
