"행정구역(시군구)별",2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"금천구",37595,43034,-5439,11144,12195,10883,14256,21007,40140,43017,-2877,12856,12628,11383,14656,18778,36640,37818,-1178,11338,11140,10060,14162,16420,34966,38174,-3208,11885,10024,10247,13057,16042,33510,37071,-3561,11160,9650,10054,12700,15857,34056,37303,-3247,11341,10463,9633,12252,16329,34870,36528,-1658,11451,11013,9369,12406,15708,34230,34907,-677,10288,10988,8764,12954,15855,33794,35508,-1714,9958,11073,8692,12763,16858,32416,33728,-1312,8757,10559,9172,13100,15799,35753,36963,-1210,9476,11899,10542,14378,16945,35663,35047,616,8884,12626,9594,14153,16569
"영등포구",66644,75966,-9322,16966,27301,31105,22377,27895,65477,77778,-12301,18008,25926,32058,21543,27712,57623,66140,-8517,13659,23137,26563,20827,25918,57690,65125,-7435,14267,23101,26660,20322,24198,59057,65662,-6605,14231,23818,28084,21008,23347,58936,65678,-6742,14054,24161,27347,20721,24277,61308,71785,-10477,17380,23422,29393,20506,25012,62622,66039,-3417,15910,25762,27019,20950,23110,59862,62108,-2246,13239,24622,25540,22001,23329,56874,58253,-1379,11478,23115,25229,22281,21546,79309,68526,10783,17224,36063,28497,26022,22805,60565,61108,-543,11395,26801,26255,22369,23458
"동작구",70829,74307,-3478,15987,31217,31003,23625,27317,70217,73726,-3509,16168,31395,31393,22654,26165,68660,66673,1987,15148,30753,26598,22759,24927,70907,67868,3039,15558,32277,27796,23072,24514,63291,69117,-5826,14929,26638,29558,21724,24630,66694,76096,-9402,17787,27910,31565,20997,26744,66425,68243,-1818,15963,29101,27605,21361,24675,60949,66978,-6029,14741,25321,28015,20887,24222,65099,66105,-1006,14489,28822,26972,21788,24644,61168,62047,-879,13135,25706,26513,22327,22399,64496,69650,-5154,13784,27698,32236,23014,23630,64257,68311,-4054,13934,28111,29136,22212,25241
"관악구",100901,110153,-9252,28114,33027,37890,39760,44149,97502,105431,-7929,26864,32313,37536,38325,41031,92666,98563,-5897,25911,28863,33940,37892,38712,89789,97304,-7515,25624,28044,33734,36121,37946,90987,98182,-7195,26344,28127,34262,36516,37576,94590,100724,-6134,29534,29383,32946,35673,38244,91198,96179,-4981,26502,28095,32592,36601,37085,90303,94943,-4640,26604,26843,32178,36856,36161,94403,96477,-2074,26397,28415,32225,39591,37855,93583,95788,-2205,26502,27024,33368,40057,35918,98301,103226,-4925,27197,29962,37731,41142,38298,89756,95711,-5955,23003,28513,34274,38240,38434
"서초구",80612,80944,-332,19807,35653,32787,25152,28350,78798,82637,-3839,20716,34698,34555,23384,27366,73029,74371,-1342,18307,32630,30716,22092,25348,80562,76974,3588,21145,37194,31585,22223,24244,79323,74512,4811,20539,36020,30348,22764,23625,76543,83320,-6777,22715,32933,34364,20895,26241,71136,74319,-3183,19100,30999,30075,21037,25144,68680,76574,-7894,20152,28160,32193,20368,24229,74658,83489,-8831,24245,29695,34480,20718,24764,63335,67634,-4299,16198,26537,29655,20600,21781,71250,77669,-6419,19374,30117,34269,21759,24026,70064,81777,-11713,21088,29154,35450,19822,25239
"강남구",110126,114915,-4789,31654,41322,42817,37150,40444,113315,120534,-7219,36421,42628,45082,34266,39031,97038,101358,-4320,27231,37568,38156,32239,35971,96256,100020,-3764,27690,37289,37181,31277,35149,115906,104412,11494,32264,47888,37696,35754,34452,108537,114523,-5986,34336,40957,41754,33244,38433,95358,108949,-13591,29827,34525,40474,31006,38648,90474,103367,-12893,28057,33068,40280,29349,35030,91611,106802,-15191,28824,32819,42305,29968,35673,95557,93716,1841,25921,37000,37362,32636,30433,95325,101582,-6257,26024,36333,42554,32968,33004,94082,98106,-4024,25525,37476,39174,31081,33407
"송파구",117420,126686,-9266,41775,39442,39223,36203,45688,117663,124898,-7235,44125,40095,38193,33443,42580,106747,120232,-13485,42815,33215,35531,30717,41886,99953,108855,-8902,37469,32343,33125,30141,38261,99723,107490,-7767,35426,32954,35029,31343,37035,101994,111346,-9352,39136,34340,31936,28518,40274,105735,112735,-7000,37505,36782,29011,31448,46219,110872,107154,3718,37182,40957,30710,32733,39262,101060,101486,-426,33018,36128,28508,31914,39960,123273,116301,6972,44397,41824,32620,37052,39284,106928,116457,-9529,35767,36313,38141,34848,42549,105181,113651,-8470,33451,38244,36374,33486,43826
"강동구",83671,86177,-2506,33629,25845,22710,24197,29838,94557,94092,465,41276,29342,22895,23939,29921,73218,82966,-9748,32096,20554,22036,20568,28834,68569,75508,-6939,29102,19932,19805,19535,26601,66412,75575,-9163,28704,18582,20007,19126,26864,73720,94194,-20474,37637,18422,21542,17661,35015,67962,84535,-16573,31043,19337,17849,17582,35643,81615,90819,-9204,37992,24183,22205,19440,30622,59334,68933,-9599,24240,17598,16292,17496,28401,75101,67292,7809,27754,25919,15175,21428,24363,101437,78271,23166,34098,39416,17529,27923,26644,77883,74444,3439,27713,29211,18138,20959,28593
"경기도",2168820,2026383,142437,834147,601122,601122,733551,591114,2062422,1986623,75799,832888,554918,554918,674616,598817,1944962,1862209,82753,766080,528485,528485,650397,567644,1895434,1821303,74131,767618,506877,506877,620939,546808,1891775,1834379,57396,769180,505892,505892,616703,559307,1993080,1898312,94768,816014,530250,530250,646816,552048,1958593,1824976,133617,785160,515941,515941,657492,523875,1888324,1772162,116162,740434,518753,518753,629137,512975,2041715,1871621,170094,788471,578031,578031,675213,505119,1940962,1806296,134666,744143,557565,557565,639254,504588,2152572,1984199,168373,842504,605557,605557,704511,536138,2036215,1885698,150517,779725,586091,586091,670399,519882
"수원시",184402,197102,-12700,88288,46784,64646,49330,44168,202035,198070,3965,101482,53152,53061,47401,43527,200113,175865,24248,90367,60301,44916,49445,40582,195500,175214,20286,90190,58012,45654,47298,39370,196453,178195,18258,88697,58787,46261,48969,43237,189637,187775,1862,88303,53042,56952,48292,42520,172210,169975,2235,78344,47232,51922,46634,39709,177059,173747,3312,81027,49412,54459,46620,38261,187806,193564,-5758,90347,50395,64734,47064,38483,173336,184404,-11068,82194,46339,64325,44803,37885,168204,179518,-11314,78052,46163,62091,43989,39375,183258,185355,-2097,85925,51202,60481,46131,38949
